Counter: 32, GPS precision: 2.0000000000000000, Latitude: 1.3010146000000000, Longitude: 103.7899674999999888, Xcovariance: 4.2427988052368164, Ycovariance: 4.8087143898010254, Zcovariance: 27.0095443725585938
Counter: 33, GPS precision: 2.0000000000000000, Latitude: 1.3010142999999998, Longitude: 103.7899680000000018, Xcovariance: 4.2238082885742188, Ycovariance: 4.7762265205383301, Zcovariance: 26.8757228851318359
Counter: 34, GPS precision: 2.0000000000000000, Latitude: 1.3010138999999998, Longitude: 103.7899685000000005, Xcovariance: 4.2037286758422852, Ycovariance: 4.7450504302978516, Zcovariance: 26.7442817687988281
Counter: 35, GPS precision: 2.0000000000000000, Latitude: 1.3010141000000000, Longitude: 103.7899688999999910, Xcovariance: 4.1815834045410156, Ycovariance: 4.7084589004516602, Zcovariance: 26.5887908935546875
Counter: 36, GPS precision: 2.0000000000000000, Latitude: 1.3010141000000000, Longitude: 103.7899692999999957, Xcovariance: 4.1441135406494141, Ycovariance: 4.6433320045471191, Zcovariance: 26.3519439697265625
Counter: 37, GPS precision: 2.0000000000000000, Latitude: 1.3010141000000000, Longitude: 103.7899695999999921, Xcovariance: 4.1068825721740723, Ycovariance: 4.5814313888549805, Zcovariance: 26.1227226257324219
Counter: 38, GPS precision: 2.0000000000000000, Latitude: 1.3010139999999999, Longitude: 103.7899702999999931, Xcovariance: 4.0745282173156738, Ycovariance: 4.5494956970214844, Zcovariance: 25.9404144287109375
Counter: 39, GPS precision: 2.0000000000000000, Latitude: 1.3010143999999999, Longitude: 103.7899707999999919, Xcovariance: 4.0380525588989258, Ycovariance: 4.5152802467346191, Zcovariance: 25.7576675415039062
Counter: 40, GPS precision: 2.0000000000000000, Latitude: 1.3010146000000000, Longitude: 103.7899713999999989, Xcovariance: 4.0006380081176758, Ycovariance: 4.4778003692626953, Zcovariance: 25.5698127746582031
Counter: 41, GPS precision: 2.0000000000000000, Latitude: 1.3010146999999999, Longitude: 103.7899717999999893, Xcovariance: 3.9645044803619385, Ycovariance: 4.4453248977661133, Zcovariance: 25.3925685882568359
